도시		연도	전력 소비량(GWh)	교통 혼잡도(%)	쓰레기 배출량(tons)	신재생에너지(%)  신재생 에너지 관련 시설 수 
SmartCityA	2025	687.27			48.03			419.6				55.92			2
SmartCityA	2026	578.0				12.32			459.85			56.07			7
SmartCityA	2027	510.29			48.8			449.73			32.74			2
SmartCityA	2028	591.7				22.17			357.43			45.92			3
SmartCityA	2029	805.93			15.58			287.64			41.98			5
SmartCityB	2025	960.94			13.54			258.79			22.71			3
SmartCityB	2026	694.34			20.85			448.62			41.41			3
SmartCityB	2027	771.35			15.64			440.66			24.47			9
SmartCityB	2028	886.12			17.95			201.66			68.93			7
SmartCityB	2029	864.5				40.85			222.21			41.51			2
